"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"O.J. Howard","TB","TE34","0.0","0.0","0.0","28.5","404.3","2.1","0.6","51.7"
"Lynn Bowden Jr.","LV","WR98","36.4","221.9","1.3","19.3","176.7","0.8","0.6","51.7"
"Willie Snead","BAL","WR99","2.5","14.9","0.1","31.1","357.0","2.3","0.2","50.8"
"Olabisi Johnson","MIN","WR100","1.0","7.0","0.0","29.5","320.5","3.0","0.0","50.6"
"Jakeem Grant","MIA","WR101","7.0","11.0","2.0","27.2","296.9","1.4","0.5","50.4"
"Miles Boykin","BAL","WR102","0.0","0.0","0.0","23.7","339.1","2.8","0.1","50.2"
"Nick Boyle","BAL","TE35","0.0","0.0","0.0","32.5","317.5","3.0","0.1","49.7"
"Tyler Johnson","TB","WR103","3.9","23.7","0.1","28.6","333.1","2.2","0.2","49.0"
"David Njoku","CLE","TE36","0.0","0.0","0.0","24.8","278.6","3.2","0.1","47.2"
"Bryce Love","WAS","RB70","58.9","248.6","1.7","12.9","103.6","0.4","0.3","47.1"
"Jordan Akins","HOU","TE37","0.0","0.0","0.0","30.7","345.1","2.1","0.1","46.9"
"Dion Lewis","NYG","RB71","62.3","242.4","1.0","21.2","131.2","0.8","0.7","46.9"
"Anthony Firkser","TEN","TE38","0.0","0.0","0.0","23.6","309.4","2.7","0.1","46.7"
"David Moore","SEA","WR104","4.4","26.8","0.1","18.5","285.3","2.5","0.3","46.2"
"Van Jefferson","LAR","WR105","2.0","10.0","0.0","24.8","363.7","1.6","0.6","46.1"
"Ryan Griffin","NYJ","TE39","0.0","0.0","0.0","27.5","279.1","3.0","0.0","45.9"
"Jeremy Sprinkle","WAS","TE40","0.0","0.0","0.0","34.5","333.4","2.0","0.1","45.3"
"Trent Taylor","SF","WR106","0.0","0.0","0.0","28.5","308.5","2.2","0.1","43.8"
"Vance McDonald","PIT","TE41","0.0","0.0","0.0","32.5","284.1","2.5","0.1","43.3"
"Marquise Goodwin","PHI","WR107","3.0","27.0","0.0","19.6","282.1","2.0","0.0","43.1"
"Jeff Heuerman","DEN","TE42","0.0","0.0","0.0","24.0","250.0","3.0","0.0","43.0"
"Reggie Bonnafon","CAR","RB72","52.8","253.8","1.7","8.7","73.2","0.2","0.6","42.7"
"Will Dissly","SEA","TE43","0.0","0.0","0.0","21.7","259.3","2.8","0.1","42.4"
"Keelan Cole","JAC","WR108","1.0","4.0","0.0","20.0","302.6","1.7","0.0","41.1"
"Darwin Thompson","KC","RB73","58.8","244.0","1.7","9.2","51.5","0.1","0.5","39.6"
"Kelvin Harmon","WAS","WR109","0.0","0.0","0.0","24.2","312.3","1.4","0.2","39.3"
"Tajae Sharpe","MIN","WR110","0.0","2.0","0.0","19.8","241.3","2.4","0.0","38.6"
"DeeJay Dallas","SEA","RB74","51.3","221.7","1.5","7.5","71.7","0.2","0.6","38.3"
"Benny Snell Jr.","PIT","RB75","68.1","264.2","1.9","2.1","14.8","0.0","0.6","38.0"
"Christian Blake","ATL","WR111","0.0","0.0","0.0","23.1","269.9","1.8","0.1","37.6"
"Dare Ogunbowale","TB","RB76","25.7","91.6","1.9","17.1","136.9","0.4","0.1","36.5"
"Cameron Brate","TB","TE44","0.0","0.0","0.0","20.9","211.7","2.5","0.0","36.3"
"Ryquell Armstead","JAC","RB77","62.8","219.3","1.5","5.7","52.6","0.2","0.6","36.0"
"Royce Freeman","DEN","RB78","41.4","162.9","0.9","18.5","120.0","0.6","0.5","35.8"
"Cole Kmet","CHI","TE45","0.0","0.0","0.0","26.2","274.1","1.6","0.6","35.8"
"Kyle Juszczyk","SF","RB79","5.8","20.6","0.1","23.5","258.8","1.4","0.6","35.5"
"Devin Duvernay","BAL","WR112","2.5","15.2","0.1","21.8","247.7","1.4","0.1","35.1"
